ShortName,ExchangeCode
PVRLIM,PVRINOX
RAMCEM,RAMCOCEM
RBLBAN,RBLBANK
RURELE,RECLTD
RELIND,RELIANCE
SAIL,SAIL
SBICAR,SBICARD
SBILIF,SBILIFE
STABAN,SBIN
SHRCEM,SHREECEM
SHRTRA,SHRIRAMFIN
SIEMEN,SIEMENS
SRF,SRF
SUNPHA,SUNPHARMA
SUNTV,SUNTV
SYNINT,SYNGENE
TATCHE,TATACHEM
TATCOM,TATACOMM
TATGLO,TATACONSUM
TATMOT,TATAMOTORS
TATPOW,TATAPOWER
TATSTE,TATASTEEL
TCS,TCS
TECMAH,TECHM
TITIND,TITAN
TORPHA,TORNTPHARM
TRENT,TRENT
TVSMOT,TVSMOTOR
UNIBR,UBL
ULTCEM,ULTRACEMCO
UNIP,UPL
VEDLIM,VEDL
VOLTAS,VOLTAS
WIPRO,WIPRO
ZEEENT,ZEEL
CADHEA,ZYDUSLIFE
ICILOM,ICICIGI
ICIPRU,ICICIPRULI
IDECEL,IDEA
IDFC,IDFC
IDFBAN,IDFCFIRSTB
INDEN,IEX
INDGAS,IGL
INDHOT,INDHOTEL
INDCEM,INDIACEM
INDMAR,INDIAMART
INTAVI,INDIGO
INDBA,INDUSINDBK
BHAINF,INDUSTOWER
INFTEC,INFY
INDOIL,IOC
IPCLAB,IPCALAB
INDRAI,IRCTC
ITC,ITC
JINSP,JINDALSTEL
JKCEME,JKCEMENT
JSWSTE,JSWSTEEL
JUBFOO,JUBLFOOD
KOTMAH,KOTAKBANK
LTFINA,L&TFH
DRLAL,LALPATHLAB
LAULAB,LAURUSLABS
LICHF,LICHSGFIN
LARTOU,LT
LTINFO,LTIM
LTTEC,LTTS
LUPIN,LUPIN
MAHMAH,M&M
MAHFIN,M&MFIN
MANAFI,MANAPPURAM
MARLIM,MARICO
MARUTI,MARUTI
UNISPI,MCDOWELL-N
MCX,MCX
METHEA,METROPOLIS
MAXFIN,MFSL
MAHGAS,MGL
MOTSUM,MOTHERSON
MPHLIM,MPHASIS
MRFTYR,MRF
MUTFIN,MUTHOOTFIN
NATALU,NATIONALUM
INFEDG,NAUKRI
NAVFLU,NAVINFLUOR
NESIND,NESTLEIND
NATMIN,NMDC
NTPC,NTPC
OBEREA,OBEROIRLTY
ORAFIN,OFSS
ONGC,ONGC
PAGIND,PAGEIND
PIRENT,PEL
PERSYS,PERSISTENT
PETLNG,PETRONET
POWFIN,PFC
PIDIND,PIDILITIND
PIIND,PIIND
PUNBAN,PNB
POLI,POLYCAB
POWGRI,POWERGRID
BHEL,BHEL
BIOCON,BIOCON
