string,strike_price,icici_symbol,right,Expiry Day,Expiry Month,Expiry Year,expiry
CANBK25SEP119CE,119,CANBK,Call,30,09,2025,2025-09-30
CANBK25SEP116CE,116,CANBK,Call,30,09,2025,2025-09-30
CANBK25SEP115CE,115,CANBK,Call,30,09,2025,2025-09-30
CANBK25SEP118CE,118,CANBK,Call,30,09,2025,2025-09-30
CANBK25SEP117CE,117,CANBK,Call,30,09,2025,2025-09-30
CANBK25SEP120CE,120,CANBK,Call,30,09,2025,2025-09-30
CANBK25SEP114CE,114,CANBK,Call,30,09,2025,2025-09-30
CANBK25SEP113CE,113,CANBK,Call,30,09,2025,2025-09-30
CANBK25SEP112CE,112,CANBK,Call,30,09,2025,2025-09-30
EICHERMOT25SEP6650CE,6650,EICHERMOT,Call,30,09,2025,2025-09-30
EICHERMOT25SEP6800CE,6800,EICHERMOT,Call,30,09,2025,2025-09-30
EICHERMOT25SEP6700CE,6700,EICHERMOT,Call,30,09,2025,2025-09-30
CANBK25SEP111CE,111,CANBK,Call,30,09,2025,2025-09-30
EICHERMOT25SEP6550CE,6550,EICHERMOT,Call,30,09,2025,2025-09-30
HINDPETRO25SEP425CE,425,HINDPETRO,Call,30,09,2025,2025-09-30
EICHERMOT25SEP6600CE,6600,EICHERMOT,Call,30,09,2025,2025-09-30
HINDPETRO25SEP419.5CE,419.5,HINDPETRO,Call,30,09,2025,2025-09-30
SAMMAANCAP25SEP140CE,140,SAMMAANCAP,Call,30,09,2025,2025-09-30
HINDPETRO25SEP420CE,420,HINDPETRO,Call,30,09,2025,2025-09-30
CANBK25SEP110CE,110,CANBK,Call,30,09,2025,2025-09-30
MUTHOOTFIN25SEP2900CE,2900,MUTHOOTFIN,Call,30,09,2025,2025-09-30
HINDPETRO25SEP415CE,415,HINDPETRO,Call,30,09,2025,2025-09-30
HINDPETRO25SEP430CE,430,HINDPETRO,Call,30,09,2025,2025-09-30
HINDPETRO25SEP424.5CE,424.5,HINDPETRO,Call,30,09,2025,2025-09-30
HINDPETRO25SEP410CE,410,HINDPETRO,Call,30,09,2025,2025-09-30
MUTHOOTFIN25SEP3000CE,3000,MUTHOOTFIN,Call,30,09,2025,2025-09-30
EICHERMOT25SEP6500CE,6500,EICHERMOT,Call,30,09,2025,2025-09-30
HINDPETRO25SEP414.5CE,414.5,HINDPETRO,Call,30,09,2025,2025-09-30
INDIANB25SEP720CE,720,INDIANB,Call,30,09,2025,2025-09-30
CANBK25SEP109CE,109,CANBK,Call,30,09,2025,2025-09-30
NATIONALUM25SEP205CE,205,NATIONALUM,Call,30,09,2025,2025-09-30
HINDZINC25SEP460CE,460,HINDZINC,Call,30,09,2025,2025-09-30
MUTHOOTFIN25SEP2850CE,2850,MUTHOOTFIN,Call,30,09,2025,2025-09-30
BAJFINANCE25SEP960CE,960,BAJFINANCE,Call,30,09,2025,2025-09-30
NATIONALUM25SEP200CE,200,NATIONALUM,Call,30,09,2025,2025-09-30
HINDPETRO25SEP409.5CE,409.5,HINDPETRO,Call,30,09,2025,2025-09-30
INDIANB25SEP710CE,710,INDIANB,Call,30,09,2025,2025-09-30
HINDPETRO25SEP404.5CE,404.5,HINDPETRO,Call,30,09,2025,2025-09-30
CANBK25SEP122CE,122,CANBK,Call,30,09,2025,2025-09-30
SAMMAANCAP25SEP135CE,135,SAMMAANCAP,Call,30,09,2025,2025-09-30
EICHERMOT25SEP6450CE,6450,EICHERMOT,Call,30,09,2025,2025-09-30
BAJFINANCE25SEP970CE,970,BAJFINANCE,Call,30,09,2025,2025-09-30
EICHERMOT25SEP6900CE,6900,EICHERMOT,Call,30,09,2025,2025-09-30
HINDZINC25SEP470CE,470,HINDZINC,Call,30,09,2025,2025-09-30
BAJFINANCE25SEP950CE,950,BAJFINANCE,Call,30,09,2025,2025-09-30
HINDPETRO25SEP429.5CE,429.5,HINDPETRO,Call,30,09,2025,2025-09-30
CANBK25SEP108CE,108,CANBK,Call,30,09,2025,2025-09-30
HINDPETRO25SEP405CE,405,HINDPETRO,Call,30,09,2025,2025-09-30
BAJFINANCE25SEP940CE,940,BAJFINANCE,Call,30,09,2025,2025-09-30
LTF25SEP237.5CE,237.5,LTF,Call,30,09,2025,2025-09-30
EICHERMOT25SEP6400CE,6400,EICHERMOT,Call,30,09,2025,2025-09-30
INDIANB25SEP700CE,700,INDIANB,Call,30,09,2025,2025-09-30
HINDZINC25SEP450CE,450,HINDZINC,Call,30,09,2025,2025-09-30
HINDPETRO25SEP399.5CE,399.5,HINDPETRO,Call,30,09,2025,2025-09-30
HINDPETRO25SEP400CE,400,HINDPETRO,Call,30,09,2025,2025-09-30
INDIANB25SEP690CE,690,INDIANB,Call,30,09,2025,2025-09-30
NATIONALUM25SEP210CE,210,NATIONALUM,Call,30,09,2025,2025-09-30
MUTHOOTFIN25SEP2800CE,2800,MUTHOOTFIN,Call,30,09,2025,2025-09-30
NATIONALUM25SEP195CE,195,NATIONALUM,Call,30,09,2025,2025-09-30
LTF25SEP235CE,235,LTF,Call,30,09,2025,2025-09-30
BAJFINANCE25SEP980CE,980,BAJFINANCE,Call,30,09,2025,2025-09-30
EICHERMOT25SEP6350CE,6350,EICHERMOT,Call,30,09,2025,2025-09-30
SAMMAANCAP25SEP137.5CE,137.5,SAMMAANCAP,Call,30,09,2025,2025-09-30
CANBK25SEP107CE,107,CANBK,Call,30,09,2025,2025-09-30
LTF25SEP240CE,240,LTF,Call,30,09,2025,2025-09-30
BAJFINANCE25SEP930CE,930,BAJFINANCE,Call,30,09,2025,2025-09-30
SBIN25SEP850CE,850,SBIN,Call,30,09,2025,2025-09-30
SBICARD25SEP850CE,850,SBICARD,Call,30,09,2025,2025-09-30
LTF25SEP242.5CE,242.5,LTF,Call,30,09,2025,2025-09-30
BAJFINANCE25SEP920CE,920,BAJFINANCE,Call,30,09,2025,2025-09-30
SAMMAANCAP25SEP132.5CE,132.5,SAMMAANCAP,Call,30,09,2025,2025-09-30
SBICARD25SEP830CE,830,SBICARD,Call,30,09,2025,2025-09-30
HINDPETRO25SEP395CE,395,HINDPETRO,Call,30,09,2025,2025-09-30
SBIN25SEP840CE,840,SBIN,Call,30,09,2025,2025-09-30
SAIL25SEP127.5CE,127.5,SAIL,Call,30,09,2025,2025-09-30
EICHERMOT25SEP6300CE,6300,EICHERMOT,Call,30,09,2025,2025-09-30
HINDPETRO25SEP394.5CE,394.5,HINDPETRO,Call,30,09,2025,2025-09-30
INDIANB25SEP680CE,680,INDIANB,Call,30,09,2025,2025-09-30
LTF25SEP232.5CE,232.5,LTF,Call,30,09,2025,2025-09-30
CANBK25SEP106CE,106,CANBK,Call,30,09,2025,2025-09-30
LTF25SEP230CE,230,LTF,Call,30,09,2025,2025-09-30
BANKBARODA25SEP250CE,250,BANKBARODA,Call,30,09,2025,2025-09-30
SBICARD25SEP840CE,840,SBICARD,Call,30,09,2025,2025-09-30
HINDPETRO25SEP434.5CE,434.5,HINDPETRO,Call,30,09,2025,2025-09-30
BANKBARODA25SEP247.5CE,247.5,BANKBARODA,Call,30,09,2025,2025-09-30
CANBK25SEP123CE,123,CANBK,Call,30,09,2025,2025-09-30
SBICARD25SEP820CE,820,SBICARD,Call,30,09,2025,2025-09-30
MUTHOOTFIN25SEP2750CE,2750,MUTHOOTFIN,Call,30,09,2025,2025-09-30
CROMPTON25SEP310PE,310,CROMPTON,Put,30,09,2025,2025-09-30
CROMPTON25SEP305PE,305,CROMPTON,Put,30,09,2025,2025-09-30
HINDPETRO25SEP389.5CE,389.5,HINDPETRO,Call,30,09,2025,2025-09-30
HINDPETRO25SEP390CE,390,HINDPETRO,Call,30,09,2025,2025-09-30
CHOLAFIN25SEP1560CE,1560,CHOLAFIN,Call,30,09,2025,2025-09-30
BANKBARODA25SEP252.5CE,252.5,BANKBARODA,Call,30,09,2025,2025-09-30
EICHERMOT25SEP6250CE,6250,EICHERMOT,Call,30,09,2025,2025-09-30
CANBK25SEP105CE,105,CANBK,Call,30,09,2025,2025-09-30
CHOLAFIN25SEP1520CE,1520,CHOLAFIN,Call,30,09,2025,2025-09-30
SAMMAANCAP25SEP127.5CE,127.5,SAMMAANCAP,Call,30,09,2025,2025-09-30
HINDPETRO25SEP439.5CE,439.5,HINDPETRO,Call,30,09,2025,2025-09-30
LTF25SEP245CE,245,LTF,Call,30,09,2025,2025-09-30
HINDZINC25SEP440CE,440,HINDZINC,Call,30,09,2025,2025-09-30
BANKBARODA25SEP245CE,245,BANKBARODA,Call,30,09,2025,2025-09-30
SAMMAANCAP25SEP130CE,130,SAMMAANCAP,Call,30,09,2025,2025-09-30
BAJFINANCE25SEP910CE,910,BAJFINANCE,Call,30,09,2025,2025-09-30
INDIANB25SEP670CE,670,INDIANB,Call,30,09,2025,2025-09-30
CROMPTON25SEP315PE,315,CROMPTON,Put,30,09,2025,2025-09-30
CHOLAFIN25SEP1540CE,1540,CHOLAFIN,Call,30,09,2025,2025-09-30
LTF25SEP227.5CE,227.5,LTF,Call,30,09,2025,2025-09-30
NATIONALUM25SEP190CE,190,NATIONALUM,Call,30,09,2025,2025-09-30
SBIN25SEP830CE,830,SBIN,Call,30,09,2025,2025-09-30
SAIL25SEP125CE,125,SAIL,Call,30,09,2025,2025-09-30
SBICARD25SEP860CE,860,SBICARD,Call,30,09,2025,2025-09-30
PNBHOUSING25SEP820CE,820,PNBHOUSING,Call,30,09,2025,2025-09-30
SAIL25SEP130CE,130,SAIL,Call,30,09,2025,2025-09-30
HINDPETRO25SEP384.5CE,384.5,HINDPETRO,Call,30,09,2025,2025-09-30
JSWSTEEL25SEP1100CE,1100,JSWSTEEL,Call,30,09,2025,2025-09-30
EICHERMOT25SEP6200CE,6200,EICHERMOT,Call,30,09,2025,2025-09-30
CHOLAFIN25SEP1500CE,1500,CHOLAFIN,Call,30,09,2025,2025-09-30
JSWSTEEL25SEP1090CE,1090,JSWSTEEL,Call,30,09,2025,2025-09-30
HINDPETRO25SEP385CE,385,HINDPETRO,Call,30,09,2025,2025-09-30
CHOLAFIN25SEP1580CE,1580,CHOLAFIN,Call,30,09,2025,2025-09-30
CROMPTON25SEP300PE,300,CROMPTON,Put,30,09,2025,2025-09-30
BHEL25SEP225CE,225,BHEL,Call,30,09,2025,2025-09-30
PNB25SEP109CE,109,PNB,Call,30,09,2025,2025-09-30
JSWSTEEL25SEP1110CE,1110,JSWSTEEL,Call,30,09,2025,2025-09-30
SBIN25SEP860CE,860,SBIN,Call,30,09,2025,2025-09-30
BANKBARODA25SEP242.5CE,242.5,BANKBARODA,Call,30,09,2025,2025-09-30
SBICARD25SEP810CE,810,SBICARD,Call,30,09,2025,2025-09-30
LTF25SEP225CE,225,LTF,Call,30,09,2025,2025-09-30
JINDALSTEL25SEP1010CE,1010,JINDALSTEL,Call,30,09,2025,2025-09-30
CROMPTON25SEP320PE,320,CROMPTON,Put,30,09,2025,2025-09-30
JINDALSTEL25SEP1030CE,1030,JINDALSTEL,Call,30,09,2025,2025-09-30
SAMMAANCAP25SEP125CE,125,SAMMAANCAP,Call,30,09,2025,2025-09-30
CANBK25SEP104CE,104,CANBK,Call,30,09,2025,2025-09-30
BHEL25SEP230CE,230,BHEL,Call,30,09,2025,2025-09-30
MUTHOOTFIN25SEP2700CE,2700,MUTHOOTFIN,Call,30,09,2025,2025-09-30
BAJFINANCE25SEP900CE,900,BAJFINANCE,Call,30,09,2025,2025-09-30
