string,strike_price,icici_symbol,right,Expiry Day,Expiry Month,Expiry Year,expiry
CANBK25SEP_119CE,119,CANBAN,Call,30,09,2025,2025-09-30
CANBK25SEP_116CE,116,CANBAN,Call,30,09,2025,2025-09-30
CANBK25SEP_115CE,115,CANBAN,Call,30,09,2025,2025-09-30
CANBK25SEP_118CE,118,CANBAN,Call,30,09,2025,2025-09-30
CANBK25SEP_117CE,117,CANBAN,Call,30,09,2025,2025-09-30
CANBK25SEP_120CE,120,CANBAN,Call,30,09,2025,2025-09-30
CANBK25SEP_114CE,114,CANBAN,Call,30,09,2025,2025-09-30
CANBK25SEP_113CE,113,CANBAN,Call,30,09,2025,2025-09-30
CANBK25SEP_112CE,112,CANBAN,Call,30,09,2025,2025-09-30
EICHERMOT25SEP_6650CE,6650,EICMOT,Call,30,09,2025,2025-09-30
EICHERMOT25SEP_6800CE,6800,EICMOT,Call,30,09,2025,2025-09-30
EICHERMOT25SEP_6700CE,6700,EICMOT,Call,30,09,2025,2025-09-30
CANBK25SEP_111CE,111,CANBAN,Call,30,09,2025,2025-09-30
EICHERMOT25SEP_6550CE,6550,EICMOT,Call,30,09,2025,2025-09-30
HINDPETRO25SEP_425CE,425,HINPET,Call,30,09,2025,2025-09-30
EICHERMOT25SEP_6600CE,6600,EICMOT,Call,30,09,2025,2025-09-30
HINDPETRO25SEP_419.5CE,419.5,HINPET,Call,30,09,2025,2025-09-30
SAMMAANCAP25SEP_140CE,140,INDHO,Call,30,09,2025,2025-09-30
HINDPETRO25SEP_420CE,420,HINPET,Call,30,09,2025,2025-09-30
CANBK25SEP_110CE,110,CANBAN,Call,30,09,2025,2025-09-30
MUTHOOTFIN25SEP_2900CE,2900,MUTFIN,Call,30,09,2025,2025-09-30
HINDPETRO25SEP_415CE,415,HINPET,Call,30,09,2025,2025-09-30
HINDPETRO25SEP_430CE,430,HINPET,Call,30,09,2025,2025-09-30
HINDPETRO25SEP_424.5CE,424.5,HINPET,Call,30,09,2025,2025-09-30
HINDPETRO25SEP_410CE,410,HINPET,Call,30,09,2025,2025-09-30
MUTHOOTFIN25SEP_3000CE,3000,MUTFIN,Call,30,09,2025,2025-09-30
EICHERMOT25SEP_6500CE,6500,EICMOT,Call,30,09,2025,2025-09-30
HINDPETRO25SEP_414.5CE,414.5,HINPET,Call,30,09,2025,2025-09-30
INDIANB25SEP_720CE,720,INDIBA,Call,30,09,2025,2025-09-30
CANBK25SEP_109CE,109,CANBAN,Call,30,09,2025,2025-09-30
NATIONALUM25SEP_205CE,205,NATALU,Call,30,09,2025,2025-09-30
HINDZINC25SEP_460CE,460,HINZIN,Call,30,09,2025,2025-09-30
MUTHOOTFIN25SEP_2850CE,2850,MUTFIN,Call,30,09,2025,2025-09-30
BAJFINANCE25SEP_960CE,960,BAJFI,Call,30,09,2025,2025-09-30
NATIONALUM25SEP_200CE,200,NATALU,Call,30,09,2025,2025-09-30
HINDPETRO25SEP_409.5CE,409.5,HINPET,Call,30,09,2025,2025-09-30
INDIANB25SEP_710CE,710,INDIBA,Call,30,09,2025,2025-09-30
