Script,strike_price
CANBK25SEP_119CE,119
CANBK25SEP_116CE,116
CANBK25SEP_115CE,115
CANBK25SEP_118CE,118
CANBK25SEP_117CE,117
CANBK25SEP_120CE,120
CANBK25SEP_114CE,114
CANBK25SEP_113CE,113
CANBK25SEP_112CE,112
EICHERMOT25SEP_6650CE,6650
EICHERMOT25SEP_6800CE,6800
EICHERMOT25SEP_6700CE,6700
CANBK25SEP_111CE,111
EICHERMOT25SEP_6550CE,6550
HINDPETRO25SEP_425CE,425
EICHERMOT25SEP_6600CE,6600
HINDPETRO25SEP_419.5CE,419.5
SAMMAANCAP25SEP_140CE,140
HINDPETRO25SEP_420CE,420
CANBK25SEP_110CE,110
MUTHOOTFIN25SEP_2900CE,2900
HINDPETRO25SEP_415CE,415
HINDPETRO25SEP_430CE,430
HINDPETRO25SEP_424.5CE,424.5
HINDPETRO25SEP_410CE,410
MUTHOOTFIN25SEP_3000CE,3000
EICHERMOT25SEP_6500CE,6500
HINDPETRO25SEP_414.5CE,414.5
INDIANB25SEP_720CE,720
CANBK25SEP_109CE,109
NATIONALUM25SEP_205CE,205
HINDZINC25SEP_460CE,460
MUTHOOTFIN25SEP_2850CE,2850
BAJFINANCE25SEP_960CE,960
NATIONALUM25SEP_200CE,200
HINDPETRO25SEP_409.5CE,409.5
INDIANB25SEP_710CE,710
HINDPETRO25SEP_404.5CE,404.5
CANBK25SEP_122CE,122
SAMMAANCAP25SEP_135CE,135
EICHERMOT25SEP_6450CE,6450
BAJFINANCE25SEP_970CE,970
EICHERMOT25SEP_6900CE,6900
HINDZINC25SEP_470CE,470
BAJFINANCE25SEP_950CE,950
HINDPETRO25SEP_429.5CE,429.5
CANBK25SEP_108CE,108
HINDPETRO25SEP_405CE,405
BAJFINANCE25SEP_940CE,940
LTF25SEP_237.5CE,237.5
EICHERMOT25SEP_6400CE,6400
INDIANB25SEP_700CE,700
HINDZINC25SEP_450CE,450
HINDPETRO25SEP_399.5CE,399.5
HINDPETRO25SEP_400CE,400
INDIANB25SEP_690CE,690
NATIONALUM25SEP_210CE,210
MUTHOOTFIN25SEP_2800CE,2800
NATIONALUM25SEP_195CE,195
LTF25SEP_235CE,235
BAJFINANCE25SEP_980CE,980
EICHERMOT25SEP_6350CE,6350
SAMMAANCAP25SEP_137.5CE,137.5
CANBK25SEP_107CE,107
LTF25SEP_240CE,240
BAJFINANCE25SEP_930CE,930
SBIN25SEP_850CE,850
SBICARD25SEP_850CE,850
LTF25SEP_242.5CE,242.5
BAJFINANCE25SEP_920CE,920
SAMMAANCAP25SEP_132.5CE,132.5
SBICARD25SEP_830CE,830
HINDPETRO25SEP_395CE,395
SBIN25SEP_840CE,840
SAIL25SEP_127.5CE,127.5
EICHERMOT25SEP_6300CE,6300
HINDPETRO25SEP_394.5CE,394.5
INDIANB25SEP_680CE,680
LTF25SEP_232.5CE,232.5
CANBK25SEP_106CE,106
LTF25SEP_230CE,230
BANKBARODA25SEP_250CE,250
SBICARD25SEP_840CE,840
HINDPETRO25SEP_434.5CE,434.5
BANKBARODA25SEP_247.5CE,247.5
CANBK25SEP_123CE,123
SBICARD25SEP_820CE,820
MUTHOOTFIN25SEP_2750CE,2750
CROMPTON25SEP_310PE,310
CROMPTON25SEP_305PE,305
HINDPETRO25SEP_389.5CE,389.5
HINDPETRO25SEP_390CE,390
CHOLAFIN25SEP_1560CE,1560
BANKBARODA25SEP_252.5CE,252.5
EICHERMOT25SEP_6250CE,6250
CANBK25SEP_105CE,105
CHOLAFIN25SEP_1520CE,1520
SAMMAANCAP25SEP_127.5CE,127.5
HINDPETRO25SEP_439.5CE,439.5
LTF25SEP_245CE,245
HINDZINC25SEP_440CE,440
BANKBARODA25SEP_245CE,245
SAMMAANCAP25SEP_130CE,130
BAJFINANCE25SEP_910CE,910
INDIANB25SEP_670CE,670
CROMPTON25SEP_315PE,315
CHOLAFIN25SEP_1540CE,1540
LTF25SEP_227.5CE,227.5
NATIONALUM25SEP_190CE,190
SBIN25SEP_830CE,830
SAIL25SEP_125CE,125
SBICARD25SEP_860CE,860
PNBHOUSING25SEP_820CE,820
SAIL25SEP_130CE,130
HINDPETRO25SEP_384.5CE,384.5
JSWSTEEL25SEP_1100CE,1100
EICHERMOT25SEP_6200CE,6200
CHOLAFIN25SEP_1500CE,1500
JSWSTEEL25SEP_1090CE,1090
HINDPETRO25SEP_385CE,385
CHOLAFIN25SEP_1580CE,1580
CROMPTON25SEP_300PE,300
BHEL25SEP_225CE,225
PNB25SEP_109CE,109
JSWSTEEL25SEP_1110CE,1110
SBIN25SEP_860CE,860
BANKBARODA25SEP_242.5CE,242.5
SBICARD25SEP_810CE,810
LTF25SEP_225CE,225
JINDALSTEL25SEP_1010CE,1010
CROMPTON25SEP_320PE,320
JINDALSTEL25SEP_1030CE,1030
SAMMAANCAP25SEP_125CE,125
CANBK25SEP_104CE,104
BHEL25SEP_230CE,230
MUTHOOTFIN25SEP_2700CE,2700
BAJFINANCE25SEP_900CE,900
HINDPETRO25SEP_379.5CE,379.5
SAIL25SEP_122.5CE,122.5
HINDPETRO25SEP_440CE,440
INDIANB25SEP_660CE,660
JSWSTEEL25SEP_1080CE,1080
PNB25SEP_108CE,108
PNB25SEP_111CE,111
SBICARD25SEP_800CE,800
JINDALSTEL25SEP_1020CE,1020
PNB25SEP_107CE,107
JSWSTEEL25SEP_1070CE,1070
INDIANB25SEP_740CE,740
JINDALSTEL25SEP_1000CE,1000
PNBHOUSING25SEP_800CE,800
TITAN25SEP_3450PE,3450
PNB25SEP_106CE,106
TITAN25SEP_3500PE,3500
SBIN25SEP_820CE,820
EICHERMOT25SEP_6150CE,6150
HINDPETRO25SEP_380CE,380
JSWSTEEL25SEP_1120CE,1120
PAGEIND25SEP_44500PE,44500
BHEL25SEP_220CE,220
CHOLAFIN25SEP_1480CE,1480
MOTHERSON25SEP_100CE,100
JINDALSTEL25SEP_990CE,990
HINDZINC25SEP_430CE,430
BANKBARODA25SEP_255CE,255
CANBK25SEP_103CE,103
IOC25SEP_145CE,145
PNBHOUSING25SEP_840CE,840
BANKBARODA25SEP_240CE,240
PNB25SEP_110CE,110
BAJFINANCE25SEP_890CE,890
PNBHOUSING25SEP_780CE,780
BANKINDIA25SEP_117.5CE,117.5
EICHERMOT25SEP_6100CE,6100
BAJFINANCE25SEP_990CE,990
JINDALSTEL25SEP_1040CE,1040
BANKINDIA25SEP_120CE,120
PNB25SEP_105CE,105
LTF25SEP_222.5CE,222.5
TRENT25SEP_5000PE,5000
LTF25SEP_220CE,220
JSWSTEEL25SEP_1060CE,1060
CROMPTON25SEP_325PE,325
NATIONALUM25SEP_185CE,185
BANKINDIA25SEP_115CE,115
CANBK25SEP_102CE,102
JINDALSTEL25SEP_980CE,980
IOC25SEP_142.5CE,142.5
IOC25SEP_142CE,142
TITAN25SEP_3550PE,3550
PAGEIND25SEP_45500PE,45500
SAMMAANCAP25SEP_120CE,120
IOC25SEP_144.5CE,144.5
MUTHOOTFIN25SEP_2650CE,2650
SAIL25SEP_120CE,120
BANKBARODA25SEP_237.5CE,237.5
